,NINO3.4,PDO,NPI,NPGO,AO
1971.2,-1.12,-1.652483673,-0.083768085,0.410082992,-1.203021456
1971.3,-0.85,-1.589814632,-0.246502388,0.540655917,-0.461096436
1971.3,-0.73,-1.546935814,-0.399636519,0.528266415,-0.265072524
1971.4,-0.74,-1.748136421,-0.473093507,0.509418283,-0.262755457
1971.5,-0.8,-1.286364536,-0.454539947,0.57273004,-0.19834098
1971.6,-0.77,-0.705851309,-0.059420212,0.607462567,0.182121507
1971.7,-0.82,-0.05277393,0.534543154,0.469415383,0.999119514
1971.8,-0.85,-0.415594696,0.866345948,0.312382299,0.814217526
1971.8,-0.96,-1.101655782,1.700251229,0.145510289,1.125167987
1971.9,-0.9,-1.685467379,2.396894377,-0.112771067,0.652949627
1972.0,-0.71,-1.876772874,2.799216022,-0.289998786,0.368413736
1972.1,-0.35,-1.949337028,1.442696529,-0.48979219,-0.078780296
1972.2,0.06,-1.837192427,1.021819542,-0.534965656,0.310950461
1972.3,0.41,-1.751434791,0.374444088,-0.63662331,0.466193985
1972.3,0.67,-1.678870638,0.683857173,-0.656684572,0.508828027
1972.4,0.92,-1.408404248,0.060368113,-0.549092934,-0.214097039
1972.5,1.13,-0.808100798,-0.178543938,-0.453109852,-0.316974837
1972.6,1.37,-0.135233195,-0.116436818,-0.502416568,-0.720607999
1972.7,1.58,0.174813642,0.128834367,-0.734273556,-0.282682237
1972.8,1.84,0.280361501,0.228829021,-0.772916865,-0.420779462
1972.8,2.09,0.115442971,0.626557266,-0.723983135,0.57926688
1972.9,2.12,-0.072564153,0.677487349,-0.409936892,0.968534223
1973.0,1.84,-0.461771885,1.006400114,-0.394097923,1.508874369
1973.1,1.25,-0.517844185,0.348868577,-0.187183287,1.184021502
1973.2,0.54,-0.593706709,0.215034566,-0.18785087,0.09129246
1973.3,-0.1,-0.643182268,-0.033402822,0.039507111,-0.239121368
1973.3,-0.54,-0.798205686,0.09088447,0.215494019,-0.241901849
1973.4,-0.87,-0.758625239,-0.120659611,0.327713299,0.405023402
1973.5,-1.11,-0.883963322,0.243913477,0.301476273,0.516242643
